"config","timestamp","file_name","audio_duration_seconds","model_size","cold_start_seconds","transcription_seconds","rtf","peak_working_set_mb","transcript_char_count","runtime_used","error","gt_available","wer","cer","gt_word_count"
"default","2026-04-27T05:06:26.8572903Z","Five Wonders of our Universe Universe BBC Earth Science - BBC Earth Science (64k).mp3","2394.288","Tiny","10.372","10.235","0.0043","1175","21656","reported_cuda=true;reported_vulkan=true","","true","0.1108","0.0643","3909"
"default","2026-04-27T05:13:10.7687105Z","Five Wonders of our Universe Universe BBC Earth Science - BBC Earth Science (64k).mp3","2394.288","Large","198.849","191.183","0.0798","1491","64614","reported_cuda=true;reported_vulkan=true","","true","3.1338","2.1339","3909"
"default","2026-04-27T05:35:08.7235827Z","Five Wonders of our Universe Universe BBC Earth Science - BBC Earth Science (64k).mp3","2394.288","Base","12.948","12.186","0.0051","1145","21540","reported_cuda=true;reported_vulkan=true","","true","0.0435","0.0249","3909"
"default","2026-04-27T05:35:58.6573420Z","Five Wonders of our Universe Universe BBC Earth Science - BBC Earth Science (64k).mp3","2394.288","Small","19.595","19.809","0.0083","1356","21734","reported_cuda=true;reported_vulkan=true","","true","0.0340","0.0198","3909"
"default","2026-04-27T05:37:31.4453400Z","Five Wonders of our Universe Universe BBC Earth Science - BBC Earth Science (64k).mp3","2394.288","Medium","41.893","40.118","0.0168","1356","22002","reported_cuda=true;reported_vulkan=true","","true","0.0420","0.0319","3909"
